loan_id,customer_id,loan_amount,loan_status,loan_date
208,227,79440.84,Rejected,18-12-2025
209,436,309451.2,Rejected,21-09-2022
210,12,272925.99,Closed,02-04-2023
211,106,441494.12,Rejected,29-07-2022
212,224,395845.94,Closed,19-10-2024
213,165,15254.32,Rejected,29-12-2023
214,430,223883.79,Pending,09-12-2022
215,191,76535.29,Approved,29-11-2024
216,308,419285.18,Rejected,06-03-2024
217,87,395094.63,Pending,04-12-2024
218,112,160534.83,Rejected,11-11-2024
219,141,128139,Closed,04-05-2023
220,461,119293.26,Rejected,11-05-2023
221,492,17016.61,Pending,15-04-2026
222,331,350302.55,Rejected,22-02-2026
223,366,401049.82,Rejected,03-08-2025
224,293,175866.15,Rejected,17-04-2025
225,11,248023.95,Rejected,10-11-2025
226,466,214948.22,Rejected,08-04-2023
227,131,177373.88,Closed,27-06-2024
228,188,456241.33,Closed,13-01-2024
229,246,83258.61,Pending,11-11-2025
230,438,294819.82,Pending,18-03-2023
231,434,22965.19,Rejected,21-04-2023
232,187,28749.37,Pending,26-06-2024
233,47,355016.75,Pending,02-01-2025
234,48,309647.73,Approved,03-04-2025
235,129,44231.4,Closed,18-05-2023
236,232,78769.52,Pending,31-01-2025
237,440,220767.42,Pending,16-04-2025
238,118,207684.87,Pending,30-08-2022
239,267,38055.56,Approved,19-09-2023
240,318,30812.54,Pending,17-05-2024
241,148,276229.58,Rejected,20-12-2024
242,459,88123.48,Approved,02-01-2026
243,414,480864.36,Approved,23-12-2023
244,35,387553.98,Closed,11-03-2026
245,419,392656.08,Approved,17-03-2024
246,399,233955.88,Closed,18-11-2024
247,371,93567.37,Pending,22-01-2026
248,126,394519.64,Closed,01-11-2023
249,438,90038.3,Closed,28-02-2025
250,263,407586.35,Approved,13-05-2024
251,202,71799.81,Approved,05-11-2023
252,241,82175.16,Pending,07-07-2025
253,124,431535.7,Closed,22-02-2026
254,294,392662.94,Rejected,21-12-2025
255,126,230197.36,Approved,05-03-2024
256,366,127866.32,Approved,09-09-2025
257,35,491513.87,Pending,17-03-2023
258,1,147165.24,Rejected,04-11-2022
259,347,378357.98,Rejected,28-05-2024
260,456,264900.14,Closed,04-11-2025
261,403,304730.99,Rejected,05-04-2026
262,385,129457.76,Rejected,03-10-2023
263,86,254060.51,Rejected,04-06-2022
264,65,403395.17,Pending,18-07-2024
265,38,301900.12,Closed,19-09-2025
266,432,152728.88,Rejected,03-01-2025
267,196,191092.39,Closed,21-02-2025
268,13,160699.86,Pending,02-12-2025
269,385,12940.56,Rejected,06-01-2026
270,397,321034.57,Pending,10-07-2025
271,231,433272.6,Pending,29-11-2024
272,333,397911.46,Rejected,09-04-2023
273,126,75446.09,Pending,07-09-2024
274,463,222317.89,Rejected,01-11-2024
275,205,235842.78,Rejected,01-03-2025
276,191,441779.8,Rejected,17-03-2026
277,67,210821.01,Approved,23-09-2023
278,126,474124.09,Approved,22-07-2023
279,152,190147.64,Closed,25-03-2026
280,239,455149.06,Rejected,16-12-2025
281,40,301127.05,Closed,16-05-2022
282,421,258717.94,Rejected,26-05-2023
283,21,467318.7,Rejected,14-10-2022
284,35,179478.8,Pending,11-09-2024
285,159,461382.72,Pending,25-12-2022
286,6,496089.28,Pending,16-07-2025
287,382,356996.99,Closed,24-11-2023
288,31,17218.34,Pending,14-05-2024
289,323,262940.06,Approved,29-03-2023
290,230,204688.97,Rejected,16-03-2023
291,178,312777.47,Closed,14-10-2023
292,189,30203.59,Approved,31-12-2024
293,453,222006.93,Rejected,19-08-2022
294,222,383001.63,Approved,24-10-2024
295,342,390757.4,Approved,30-12-2025
296,496,80898.35,Rejected,06-07-2022
297,170,332005.05,Rejected,03-12-2025
298,375,362659.04,Closed,07-10-2022
299,74,75394.56,Pending,06-02-2023
300,48,310352.81,Closed,20-05-2025
301,202,114017.59,Approved,26-12-2023
302,156,10996.79,Pending,24-12-2024
303,100,212096.06,Pending,14-03-2025
304,214,400738.48,Pending,15-09-2025
305,219,275792.71,Closed,01-10-2022
306,470,109254.91,Approved,03-03-2024
307,84,430126.12,Closed,30-09-2023
308,373,243918.97,Approved,15-02-2026
309,113,236811.77,Pending,24-12-2025
310,474,337942.84,Approved,26-06-2025
311,41,336361.48,Closed,05-07-2024
312,316,365321.34,Closed,23-12-2025
313,436,237118.52,Closed,16-03-2023
314,296,281491.45,Closed,07-08-2022
315,324,334146.04,Pending,23-11-2025
316,342,342568.86,Closed,11-09-2023
317,413,298955.91,Pending,16-04-2024
318,116,408391.27,Rejected,18-08-2022
319,248,139733.32,Closed,12-09-2024
320,256,486516.77,Rejected,17-09-2025
321,27,476289.72,Closed,04-10-2022
322,411,432247.33,Approved,12-03-2025
323,422,78246.12,Pending,28-03-2026
324,433,392820.84,Pending,27-03-2023
325,238,453061.46,Approved,08-04-2024
326,358,273393.59,Closed,16-10-2022
327,212,372549.17,Rejected,01-01-2024
328,291,168950.5,Approved,29-09-2022
329,125,85410.51,Rejected,03-11-2023
330,486,464562.88,Approved,24-06-2025
331,397,160408.72,Approved,16-06-2024
332,224,205932.73,Rejected,18-09-2023
333,79,210040.34,Approved,19-06-2024
334,171,469109.04,Approved,15-01-2024
335,158,121662.75,Rejected,12-03-2026
336,476,479345.76,Pending,03-12-2022
337,208,217902.29,Pending,25-09-2024
338,147,125401.76,Pending,27-08-2024
339,173,83800.04,Closed,26-01-2024
340,304,191539.58,Approved,10-08-2025
341,52,45636.96,Approved,23-07-2022
342,77,272483.37,Rejected,27-02-2025
343,460,50695.95,Pending,21-04-2024
344,27,6033.19,Pending,31-03-2023
345,17,71074.23,Closed,22-06-2022
346,348,344402.54,Closed,12-09-2024
347,342,288138.64,Approved,24-10-2024
348,85,446975.46,Closed,11-01-2024
349,52,24276.41,Approved,03-04-2025
350,21,309109.85,Pending,02-11-2024
351,405,89117.52,Rejected,19-08-2024
352,422,496773.16,Approved,16-07-2025
353,137,298718.23,Approved,30-06-2025
354,426,308304.8,Pending,14-03-2025
355,34,233856.6,Closed,12-12-2025
356,81,323514.69,Approved,16-02-2025
357,255,305209.38,Closed,19-05-2025
358,17,199729.77,Closed,14-05-2024
359,341,85589.23,Rejected,04-01-2025
360,415,228991.68,Closed,24-11-2024
361,151,328477.26,Rejected,31-10-2023
362,215,404448.1,Pending,04-05-2023
363,407,492376.34,Closed,26-11-2025
364,342,166671.78,Pending,31-10-2025
365,237,78616.85,Pending,26-06-2025
366,19,44329.3,Approved,16-07-2024
367,76,58298.87,Rejected,04-10-2024
368,65,78916.78,Approved,21-11-2025
369,145,386331.52,Closed,30-12-2025
370,297,123430.76,Rejected,06-04-2026
371,223,207890.88,Closed,29-01-2025
372,480,356009.83,Rejected,18-04-2026
373,336,21748.88,Pending,15-02-2026
374,201,99786.86,Approved,31-01-2026
375,26,20532.86,Closed,25-10-2023
376,200,97348.43,Rejected,14-03-2026
377,238,330873.08,Rejected,16-03-2026
378,402,356025.16,Closed,08-05-2025
379,231,70787.11,Closed,07-09-2023
380,382,483515.07,Rejected,08-06-2023
381,338,160820.25,Pending,12-05-2022
382,4,435241.21,Pending,26-07-2023
383,489,129047.19,Approved,29-01-2024
384,250,438382.87,Closed,18-07-2023
385,76,25802.61,Pending,18-02-2026
386,123,258828.28,Rejected,24-04-2026
387,491,142541.84,Pending,26-02-2026
388,370,94353.9,Approved,27-01-2025
389,395,9566.45,Closed,08-10-2023
390,365,174766.68,Closed,23-05-2024
391,173,6354.97,Rejected,01-10-2024
392,396,413040.4,Pending,16-11-2024
393,109,78163.89,Closed,23-10-2024
394,272,198391.64,Pending,26-01-2026
395,223,386007.36,Approved,07-06-2022
396,233,482250.55,Closed,23-12-2025
397,276,498411.11,Rejected,17-01-2025
398,23,145820.41,Approved,21-08-2025
399,209,296713.53,Approved,01-06-2024
400,243,415628.62,Rejected,13-09-2022
401,476,234453.82,Pending,03-01-2024
402,473,161013.88,Pending,09-06-2025
403,231,136026.75,Approved,22-08-2025
404,419,118589.1,Closed,06-02-2026
405,203,136356.13,Pending,02-03-2026
406,21,114791.46,Rejected,11-09-2024
407,123,201505.19,Rejected,23-08-2022
408,25,479525.54,Closed,27-01-2024
409,275,408140.22,Rejected,15-03-2023
410,9,253367.16,Closed,24-11-2023
411,394,302121.26,Approved,15-09-2024
412,255,494489.85,Pending,07-01-2026
413,274,332337.85,Closed,18-01-2026
414,400,62356.47,Pending,09-03-2024
415,474,494692.16,Closed,23-05-2023
416,91,274806.31,Pending,04-11-2024
417,8,344116.6,Approved,06-04-2025
418,169,325187.28,Rejected,01-10-2024
419,11,54232.67,Closed,30-08-2024
420,87,330441.3,Closed,16-11-2022
421,213,85121.43,Rejected,10-10-2023
422,105,365935.09,Closed,10-08-2023
423,50,383720.89,Closed,24-10-2023
424,159,498953.12,Approved,12-10-2023
425,40,491492.73,Approved,06-01-2026
426,437,468865.89,Pending,03-12-2024
427,34,390439.11,Closed,11-08-2025
428,495,93590.38,Rejected,02-01-2023
429,173,65112.33,Rejected,04-03-2024
430,262,65438.27,Closed,26-02-2024
431,403,46217.71,Approved,12-03-2026
432,181,92317.28,Pending,20-09-2023
433,280,472745.66,Approved,02-11-2025
434,467,457370.53,Approved,01-02-2025
435,33,85334.61,Closed,13-04-2023
436,83,263432.92,Pending,24-03-2025
437,246,495601.2,Closed,09-08-2024
438,16,173389.48,Rejected,06-11-2025
439,406,379594.38,Approved,19-04-2026
440,414,258647.78,Rejected,07-05-2023
441,109,87923.89,Rejected,18-03-2023
442,397,295245.47,Approved,05-02-2023
443,500,496546.01,Pending,16-09-2025
444,428,330227.73,Rejected,13-12-2024
445,286,386565.31,Rejected,21-01-2025
446,165,323051.05,Pending,05-08-2022
447,461,25772.49,Rejected,17-04-2024
448,97,6842.26,Closed,29-09-2024
449,9,493892.89,Closed,28-12-2024
450,333,172669.18,Approved,13-10-2022
451,497,161009.24,Rejected,17-02-2023
452,44,71369.41,Approved,19-05-2025
453,305,262654.52,Approved,27-12-2024
454,304,72206.3,Rejected,03-05-2023
455,284,498087.16,Closed,20-03-2023
456,62,314348.54,Approved,21-05-2025
457,403,418437.22,Closed,25-11-2022
458,126,159468.8,Rejected,26-06-2025
459,151,24274.7,Approved,21-04-2023
460,29,469829.06,Pending,09-01-2023
461,357,132849.29,Rejected,26-02-2024
462,79,143930.7,Rejected,01-08-2024
463,39,487689.13,Closed,19-06-2025
464,39,251652.09,Closed,11-02-2026
465,209,16252.46,Closed,11-10-2025
466,168,96464.19,Approved,03-06-2024
467,446,73025.24,Approved,26-11-2025
468,186,61120.22,Closed,26-06-2024
469,394,170223.65,Approved,15-12-2025
470,94,290323.62,Approved,13-04-2023
471,119,29293.96,Closed,29-09-2025
472,431,381514.03,Approved,10-01-2023
473,416,357842.87,Closed,19-11-2024
474,465,278421.54,Closed,27-08-2023
475,52,448186.28,Approved,05-10-2022
476,160,459824.97,Rejected,21-05-2024
477,48,330659.27,Closed,12-09-2025
478,380,30766.47,Approved,18-04-2024
479,49,474746.99,Approved,10-12-2022
480,55,446244.18,Approved,23-03-2024
481,241,405702.79,Rejected,02-06-2025
482,278,57911.01,Pending,02-05-2026
483,303,470130.3,Pending,03-01-2025
484,42,170361.1,Pending,01-11-2022
485,333,459490.76,Approved,06-07-2025
486,323,407062.87,Rejected,07-10-2024
487,112,365730.58,Pending,14-05-2024
488,87,370241.53,Pending,20-03-2024
489,209,7616.81,Closed,14-08-2022
490,296,398357.2,Pending,27-08-2024
491,253,276044.07,Approved,20-10-2025
492,221,109448.72,Rejected,28-02-2024
493,99,413387.56,Closed,17-06-2025
494,177,72424.2,Rejected,21-09-2024
495,467,291274.19,Closed,30-12-2022
496,128,310110.5,Approved,29-12-2024
497,362,213010.97,Rejected,09-05-2023
498,1,489018.84,Rejected,08-02-2026
499,303,99626.64,Closed,18-11-2025
500,354,68454.56,Pending,12-11-2025
501,417,322206.18,Approved,16-11-2023
502,496,337156.77,Pending,26-05-2024
503,365,24902.07,Pending,16-11-2022
504,382,28049.28,Approved,30-08-2025
505,351,200385.79,Pending,06-12-2024
506,142,479902.91,Approved,16-11-2022
507,334,109051.46,Approved,21-05-2022
508,425,349630.94,Rejected,05-06-2022
509,55,173971.71,Rejected,25-02-2026
510,74,77758.84,Approved,10-10-2022
511,445,187534.63,Rejected,03-08-2025
512,194,331462.51,Closed,24-04-2024
513,228,333244.27,Pending,06-01-2024
514,106,197659.46,Pending,26-11-2023
515,446,334599.21,Pending,02-05-2024
516,251,247012.19,Closed,24-07-2022
517,224,29222.05,Approved,28-04-2024
518,222,234473.34,Approved,20-06-2023
519,401,445023.66,Approved,12-11-2023
520,384,232080.07,Closed,29-06-2025
521,105,209635.15,Closed,07-02-2026
522,73,145305.86,Pending,11-07-2023
523,219,385681.51,Rejected,11-01-2023
524,403,382503.5,Approved,19-05-2022
525,301,229942.38,Closed,25-08-2023
526,330,116036.29,Pending,21-02-2024
527,353,432604.67,Rejected,11-06-2022
528,494,198344.48,Pending,22-12-2023
529,246,114180,Pending,19-09-2024
530,9,391598.87,Rejected,27-08-2024
531,197,113342.08,Pending,17-11-2022
532,57,137499.52,Closed,08-04-2023
533,268,131131.53,Approved,27-11-2023
534,140,431691.19,Closed,27-12-2024
535,383,204838.8,Approved,18-02-2024
536,291,478791.3,Approved,28-01-2026
537,124,449893.96,Closed,19-09-2023
538,415,125925.63,Pending,28-11-2025
539,322,251033.16,Approved,01-09-2024
540,77,479517.65,Closed,17-07-2024
541,394,346370.7,Rejected,16-10-2022
542,291,173941.65,Rejected,22-10-2024
543,100,97749.07,Closed,11-02-2023
544,370,383260.3,Closed,01-01-2026
545,357,403273.63,Pending,15-10-2025
546,322,203967.07,Closed,10-03-2025
547,50,193061.15,Pending,12-11-2022
548,456,126217.61,Approved,01-05-2026
549,440,171393.25,Rejected,25-09-2025
550,389,124377.73,Closed,05-04-2023
551,253,117650.95,Approved,25-12-2023
552,354,42752.79,Pending,29-03-2026
553,119,208313.97,Approved,12-03-2026
554,105,236206.02,Approved,26-11-2024
555,53,342075.57,Rejected,17-07-2024
556,368,72182.02,Pending,22-10-2023
557,112,188584.11,Approved,16-08-2025
558,132,10790.42,Rejected,14-07-2025
559,62,495701.21,Rejected,09-06-2025
560,458,108496.8,Closed,31-01-2026
561,473,122171.21,Approved,27-08-2022
562,48,403680.82,Pending,17-09-2024
563,23,240626.17,Closed,08-03-2024
564,278,87683.68,Approved,31-05-2022
565,475,421813.17,Pending,05-02-2025
566,408,208845.45,Closed,23-07-2022
567,52,48911.54,Pending,28-06-2025
568,474,289959.02,Approved,20-01-2023
569,219,349707.65,Closed,16-11-2022
570,386,228916.12,Pending,09-03-2025
571,14,370755.85,Approved,28-05-2025
572,342,141252.68,Pending,20-09-2025
573,422,82692.31,Approved,27-03-2026
574,376,93798.82,Pending,27-10-2024
575,102,70650.94,Rejected,17-10-2024
576,32,332522.33,Pending,05-12-2022
577,317,71584.94,Approved,08-12-2025
578,372,456559.41,Pending,05-12-2024
579,188,315429.63,Closed,09-05-2024
580,428,344946.07,Pending,18-06-2022
581,353,36317.65,Pending,13-04-2024
582,243,192152.64,Pending,12-05-2025
583,192,22389.11,Pending,06-12-2023
584,351,422239.32,Rejected,10-08-2024
585,56,46989.52,Pending,06-09-2023
586,109,41240.45,Rejected,27-04-2025
587,56,220136.14,Pending,10-09-2024
588,137,358280.02,Closed,16-05-2025
589,454,229262.3,Pending,03-09-2025
590,489,227283.99,Pending,07-06-2022
591,313,419161.56,Rejected,25-05-2024
592,143,161286.45,Pending,05-08-2025
593,475,368040.13,Approved,02-05-2024
594,101,205879,Rejected,17-06-2023
595,396,270046.63,Approved,16-09-2025
596,448,292794.25,Pending,04-03-2023
597,462,31627.14,Approved,05-03-2023
598,287,242264.23,Pending,09-04-2026
599,28,261387.44,Pending,13-07-2024
600,410,67581.4,Approved,10-07-2025
601,261,429860.06,Approved,05-01-2023
602,124,271806.43,Approved,23-07-2023
603,174,264912.56,Approved,04-09-2024
604,133,134264.4,Pending,08-05-2022
605,424,93263.48,Rejected,20-07-2024
606,252,425871.28,Pending,02-03-2026
607,72,402420.68,Pending,07-02-2024
608,358,319943.45,Pending,17-07-2025
609,320,223962.08,Rejected,09-04-2025
610,370,318757.97,Approved,22-07-2024
611,378,381269.1,Rejected,24-04-2025
612,85,342262.77,Closed,11-09-2024
613,16,21387.53,Approved,18-07-2022
614,400,18524.29,Approved,03-01-2025
615,442,405750.75,Approved,12-08-2024
616,43,164635.82,Approved,29-10-2023
617,43,345538.42,Rejected,21-09-2022
618,488,403659.77,Rejected,16-06-2024
619,402,447675.68,Closed,15-02-2025
620,30,394795.56,Approved,02-10-2024
621,369,79138.75,Closed,16-06-2023
622,161,192627.3,Approved,06-08-2023
623,407,457558.21,Closed,22-01-2023
624,386,149608.28,Pending,09-09-2023
625,44,275158.74,Pending,12-09-2024
626,308,335731.07,Rejected,20-03-2024
627,148,248113.89,Approved,22-04-2023
628,78,91983.86,Closed,06-01-2026
629,257,312719.21,Approved,13-12-2022
630,161,192825.4,Approved,03-06-2023
631,260,220171.51,Approved,06-01-2025
632,23,301609.77,Approved,19-04-2025
633,339,134336.22,Pending,13-04-2025
634,194,175949.32,Closed,06-11-2024
635,46,183926.04,Closed,30-04-2023
636,272,79229.51,Rejected,10-06-2022
637,289,65856.45,Rejected,03-07-2022
638,77,399861.57,Pending,26-07-2024
639,165,187935.32,Approved,20-01-2024
640,188,158512.55,Pending,27-12-2024
641,402,290528.47,Approved,28-02-2024
642,283,358572.61,Rejected,11-08-2025
643,28,206332.29,Pending,20-02-2025
644,211,303040.75,Rejected,05-04-2023
645,317,180763.15,Approved,01-01-2026
646,396,314077.08,Pending,07-04-2024
647,65,36934.69,Closed,12-11-2025
648,411,28258.37,Approved,10-02-2024
649,444,198879.9,Approved,24-09-2022
650,456,280117.75,Approved,16-08-2022
651,134,314661.31,Closed,26-06-2022
652,493,429188.15,Pending,16-06-2023
653,281,474480.38,Rejected,26-03-2025
654,451,465795.39,Pending,26-02-2026
655,194,360499.79,Pending,23-05-2022
656,271,325632.57,Rejected,20-05-2024
657,138,124902.46,Approved,14-01-2025
658,73,349839.05,Closed,22-08-2025
659,372,89581.21,Closed,02-06-2025
660,209,152305.43,Approved,22-07-2023
661,125,440325.83,Pending,08-02-2026
662,189,362513.49,Rejected,08-08-2022
663,110,56525.98,Closed,28-06-2023
664,43,233672.82,Approved,04-11-2022
665,421,198141.13,Rejected,29-04-2026
666,81,180564.66,Closed,02-02-2026
667,388,148852.89,Approved,29-07-2023
668,96,204623.2,Pending,21-04-2023
669,370,339496.7,Closed,28-01-2023
670,279,343175.78,Closed,28-08-2025
671,99,479813.12,Approved,05-04-2024
672,343,46880.4,Rejected,20-07-2024
673,158,208539.85,Closed,27-07-2024
674,442,148847.38,Approved,20-03-2026
675,396,116803.87,Approved,02-01-2026
676,189,124514.48,Pending,07-04-2026
677,426,491238.47,Closed,05-07-2022
678,372,486375.68,Rejected,09-06-2022
679,313,416717.91,Approved,25-10-2025
680,345,345687.36,Approved,18-12-2023
681,149,344979.59,Approved,08-09-2022
682,437,149231.24,Pending,07-12-2025
683,470,111986.07,Closed,20-07-2022
684,100,415120.16,Closed,30-05-2025
685,301,160961.54,Approved,21-06-2025
686,203,365583.25,Pending,19-01-2025
687,413,55576.95,Approved,07-06-2022
688,365,301928.32,Rejected,14-07-2022
689,370,439905.28,Approved,26-11-2023
