transaction_id,customer_id,amount,merchant,transaction_date
78,396,3413.8,Zomato,27-01-2026
79,257,796.19,Amazon,24-03-2026
80,248,567.52,Target,10-07-2025
81,472,4810.55,Amazon,12-09-2025
82,426,4706.35,Flipkart,17-06-2025
83,179,1593.86,Target,15-04-2026
84,402,1073.99,Target,02-08-2025
85,179,2407,Target,07-05-2025
86,370,3498.98,Walmart,05-09-2025
87,35,1536.31,Zomato,20-08-2025
88,59,161.8,Walmart,17-10-2025
89,332,591.35,Flipkart,21-09-2025
90,477,4920.31,Flipkart,04-06-2025
91,265,913.54,Flipkart,07-06-2025
92,170,2821.25,Target,27-11-2025
93,119,3998.89,Zomato,28-06-2025
94,95,972.62,Zomato,15-01-2026
95,222,2008.13,Zomato,03-12-2025
96,315,4421.33,Target,02-01-2026
97,304,2176.29,Amazon,29-06-2025
98,361,1113.24,Walmart,20-05-2025
99,386,3533.61,Amazon,07-06-2025
100,296,553.67,Uber,01-06-2025
101,96,1860.68,Flipkart,07-09-2025
102,235,614.08,Zomato,28-10-2025
103,442,2472.95,Zomato,22-05-2025
104,161,3005.01,Uber,11-11-2025
105,201,2955.67,Walmart,10-10-2025
106,181,4235.31,Uber,05-06-2025
107,89,4078,Zomato,03-02-2026
108,410,1522.35,Uber,13-02-2026
109,303,469.52,Flipkart,14-03-2026
110,161,633.42,Walmart,12-04-2026
111,60,956.07,Zomato,15-01-2026
112,73,2578.58,Target,04-09-2025
113,306,732.44,Target,19-06-2025
114,217,969.48,Zomato,08-09-2025
115,276,3482.49,Zomato,25-06-2025
116,477,4999.5,Uber,03-09-2025
117,86,2473.73,Flipkart,26-09-2025
118,96,1607.17,Target,15-05-2025
119,318,315.38,Walmart,08-06-2025
120,488,97.44,Flipkart,15-05-2025
121,100,4085.32,Uber,03-02-2026
122,259,3282.7,Target,06-09-2025
123,351,2484.04,Zomato,25-02-2026
124,431,2247.07,Flipkart,24-07-2025
125,43,2848.72,Flipkart,31-03-2026
126,150,211.84,Flipkart,17-10-2025
127,276,1478.92,Target,27-02-2026
128,290,3725.47,Target,28-02-2026
129,282,2578.49,Uber,28-04-2026
130,59,1376.05,Uber,04-08-2025
131,422,4954.92,Uber,20-03-2026
132,422,3796.09,Zomato,27-06-2025
133,226,2754.45,Target,24-02-2026
134,53,3693.14,Zomato,20-04-2026
135,385,1275.28,Amazon,24-06-2025
136,231,1350.94,Amazon,26-07-2025
137,225,4333.19,Amazon,26-07-2025
138,398,4068.85,Flipkart,04-01-2026
139,416,3701.18,Zomato,14-04-2026
140,180,4312.19,Uber,29-05-2025
141,324,2169.43,Uber,02-03-2026
142,72,3935,Flipkart,15-07-2025
143,413,343.82,Walmart,29-11-2025
144,273,1441.37,Uber,12-10-2025
145,87,1652.09,Zomato,01-08-2025
146,150,1482.2,Walmart,24-11-2025
147,488,4297.18,Zomato,05-11-2025
148,418,521.36,Target,09-06-2025
149,471,343.47,Walmart,30-08-2025
150,444,3296.69,Zomato,27-01-2026
151,444,706.82,Flipkart,30-03-2026
152,365,1644.38,Flipkart,03-11-2025
153,390,4225.6,Target,06-06-2025
154,251,753.75,Zomato,10-10-2025
155,138,3157.67,Target,29-01-2026
156,232,423.81,Amazon,04-11-2025
157,207,2602.29,Walmart,07-04-2026
158,356,4684.86,Walmart,27-02-2026
159,233,4753.76,Walmart,02-09-2025
160,298,62.24,Zomato,26-10-2025
161,48,3668.11,Target,11-08-2025
162,326,3337.51,Walmart,04-03-2026
163,436,363.49,Uber,02-09-2025
164,204,1128.26,Target,04-03-2026
165,423,1098.66,Walmart,15-04-2026
166,166,4150.3,Walmart,02-11-2025
167,281,2910.77,Uber,05-01-2026
168,437,2452.42,Walmart,07-03-2026
169,458,3428.63,Amazon,09-01-2026
170,24,542.89,Target,30-06-2025
171,9,664.97,Flipkart,07-04-2026
172,226,2309.76,Target,10-05-2025
173,104,4978.69,Flipkart,09-04-2026
174,452,3267.49,Flipkart,13-03-2026
175,448,4666.99,Walmart,11-04-2026
176,48,3290.21,Walmart,07-01-2026
177,43,1890.63,Zomato,05-11-2025
178,85,306.35,Zomato,02-11-2025
179,157,3643.64,Flipkart,06-11-2025
180,220,3294.65,Zomato,01-10-2025
181,49,55.38,Target,12-08-2025
182,40,706.86,Flipkart,14-09-2025
183,266,3415.91,Amazon,16-04-2026
184,5,3493.21,Amazon,14-04-2026
185,441,2140.45,Flipkart,29-08-2025
186,245,400.6,Target,28-09-2025
187,46,3667.28,Amazon,08-06-2025
188,53,1601.09,Walmart,18-10-2025
189,71,1944.47,Flipkart,23-04-2026
190,329,4965.05,Flipkart,04-09-2025
191,36,2676.02,Amazon,16-07-2025
192,313,3267.6,Target,13-10-2025
193,180,3626.04,Zomato,07-10-2025
194,384,799.3,Target,06-12-2025
195,316,3448.5,Flipkart,05-08-2025
196,45,4488.14,Flipkart,13-11-2025
197,386,659.63,Zomato,02-08-2025
198,197,1790.1,Target,03-12-2025
199,162,3965.83,Flipkart,25-10-2025
200,142,3240.87,Flipkart,22-04-2026
201,284,3024.95,Zomato,24-01-2026
202,312,1460.36,Zomato,25-07-2025
203,14,4247.07,Zomato,06-08-2025
204,449,1543.16,Uber,26-05-2025
205,311,2572.14,Zomato,24-12-2025
206,201,1512.93,Amazon,12-02-2026
207,402,4494.67,Flipkart,09-09-2025
208,254,1960.13,Flipkart,08-03-2026
209,256,3208.51,Amazon,12-12-2025
210,271,4449.19,Amazon,31-12-2025
211,185,4672.93,Flipkart,15-01-2026
212,199,4311.03,Uber,07-11-2025
213,216,1858.79,Zomato,04-09-2025
214,89,3825.49,Amazon,02-10-2025
215,9,2957.45,Amazon,22-07-2025
216,135,1117.93,Amazon,15-01-2026
217,486,3956.99,Uber,18-09-2025
218,147,3161.42,Uber,18-09-2025
219,393,2106.39,Zomato,13-09-2025
220,206,458.02,Uber,06-04-2026
221,276,3099.43,Walmart,06-05-2026
222,43,1584.04,Uber,04-04-2026
223,472,1055.83,Flipkart,20-07-2025
224,275,1667.41,Uber,13-05-2025
225,325,3827.96,Zomato,26-04-2026
226,349,3233.62,Walmart,25-11-2025
227,358,2215.56,Flipkart,16-11-2025
228,30,1260.17,Target,01-03-2026
229,60,2294.19,Uber,06-02-2026
230,29,1580.99,Zomato,02-11-2025
231,337,3716.26,Amazon,20-05-2025
232,7,3554.11,Zomato,13-06-2025
233,6,860.97,Walmart,20-11-2025
234,268,2610.25,Zomato,07-04-2026
235,133,876.47,Flipkart,24-11-2025
236,384,3916.56,Walmart,16-02-2026
237,376,4437.75,Amazon,15-08-2025
238,172,4045.18,Walmart,01-02-2026
239,269,366.17,Zomato,24-09-2025
240,500,2904.43,Amazon,10-03-2026
241,255,2303.23,Walmart,11-10-2025
242,29,2523.07,Uber,31-05-2025
243,86,1870.05,Walmart,25-03-2026
244,396,559.38,Uber,04-10-2025
245,346,3627.75,Flipkart,04-11-2025
246,380,2568.68,Amazon,06-11-2025
247,440,4321.5,Flipkart,24-04-2026
248,24,2385.23,Target,16-05-2025
249,472,792.92,Amazon,03-10-2025
250,284,4025.42,Zomato,15-05-2025
251,380,3295.73,Flipkart,05-04-2026
252,165,1278.9,Zomato,11-07-2025
253,164,1392.73,Amazon,13-07-2025
254,293,1895.4,Uber,05-01-2026
255,345,4514.61,Flipkart,05-09-2025
256,115,4031.47,Amazon,23-07-2025
257,489,2034.58,Target,28-10-2025
258,444,1447.42,Walmart,30-01-2026
259,168,477.61,Target,02-03-2026
260,5,1876.15,Walmart,25-11-2025
261,289,3933.31,Zomato,14-03-2026
262,319,1250.79,Walmart,08-03-2026
263,303,4860.7,Flipkart,03-01-2026
264,376,4507.19,Flipkart,23-02-2026
265,78,81.57,Target,24-04-2026
266,13,1203.34,Walmart,24-09-2025
267,326,4205.89,Amazon,20-03-2026
268,487,1708.34,Zomato,28-09-2025
269,193,4252.58,Zomato,21-04-2026
270,158,564.55,Uber,09-05-2025
271,122,2128.09,Amazon,19-07-2025
272,498,4984.95,Zomato,10-04-2026
273,144,510.48,Flipkart,10-07-2025
274,460,4235.25,Target,03-08-2025
275,359,4483.11,Target,09-08-2025
276,499,3752.1,Uber,21-06-2025
277,49,2551.87,Zomato,29-03-2026
278,420,2002.04,Uber,24-06-2025
279,291,358.3,Zomato,08-06-2025
280,494,697.01,Walmart,23-05-2025
281,134,4262.02,Target,01-04-2026
282,359,4167.9,Walmart,16-07-2025
283,163,2291.15,Flipkart,26-08-2025
284,39,4720.6,Flipkart,27-05-2025
285,400,3862.23,Amazon,11-07-2025
286,80,573.01,Target,18-09-2025
287,239,1604.46,Amazon,07-07-2025
288,275,1823.52,Flipkart,20-02-2026
289,232,1576.12,Walmart,25-11-2025
290,437,643.57,Flipkart,17-05-2025
291,414,3445.97,Zomato,11-08-2025
292,357,3036.35,Flipkart,09-09-2025
293,428,4290.04,Flipkart,12-01-2026
294,47,3570.23,Walmart,14-07-2025
295,203,2591.63,Zomato,01-10-2025
296,154,1337.83,Flipkart,13-07-2025
297,16,4762.88,Target,29-10-2025
298,285,3752.99,Flipkart,20-03-2026
299,49,2337.11,Flipkart,25-05-2025
300,63,109.19,Flipkart,21-06-2025
301,67,1030.76,Target,09-12-2025
302,191,3447.11,Zomato,04-12-2025
303,44,2932.5,Walmart,27-12-2025
304,470,4073.1,Amazon,21-10-2025
305,34,1028.86,Zomato,14-03-2026
306,228,4056.03,Amazon,25-09-2025
307,464,4244.01,Walmart,25-11-2025
308,63,261.35,Target,18-04-2026
309,26,881.55,Uber,10-07-2025
310,222,4117.34,Target,06-05-2026
311,255,195.94,Zomato,16-09-2025
312,219,905.4,Flipkart,27-07-2025
313,466,976.4,Walmart,18-12-2025
314,229,4422.95,Amazon,09-10-2025
315,315,3114.92,Flipkart,15-12-2025
316,332,1510.77,Target,17-10-2025
317,452,2775.91,Amazon,16-12-2025
318,45,1434.89,Flipkart,30-05-2025
319,215,1037.32,Uber,05-04-2026
320,128,3172.23,Uber,02-10-2025
321,407,146.67,Target,13-08-2025
322,401,3581.18,Target,30-11-2025
323,279,3918.1,Walmart,03-07-2025
324,468,2849.97,Walmart,09-03-2026
325,199,1388.66,Amazon,25-02-2026
326,164,3005.73,Amazon,21-07-2025
327,459,4062.91,Walmart,14-01-2026
328,30,4052.84,Target,11-01-2026
329,272,1819.29,Uber,15-11-2025
330,120,4871.2,Amazon,04-04-2026
331,127,3301.48,Walmart,02-11-2025
332,274,4090.61,Zomato,08-05-2025
333,29,3832.05,Flipkart,15-07-2025
334,295,4240.2,Target,13-08-2025
335,182,4679.27,Flipkart,11-12-2025
336,91,1220.93,Walmart,03-08-2025
337,413,3703.62,Walmart,09-11-2025
338,468,2978.23,Zomato,30-12-2025
339,359,1790.83,Uber,24-07-2025
340,289,753.41,Flipkart,14-07-2025
341,429,4940.63,Target,14-05-2025
342,278,1579.81,Target,19-10-2025
343,20,496.77,Flipkart,30-09-2025
344,309,1133.1,Uber,10-06-2025
345,245,53.38,Uber,08-03-2026
346,104,4041.9,Walmart,03-02-2026
347,368,928.43,Walmart,15-10-2025
348,31,158.47,Uber,13-11-2025
349,361,4590.26,Amazon,18-11-2025
350,434,2655.16,Walmart,02-06-2025
351,492,409.03,Zomato,15-07-2025
352,483,3327.59,Uber,23-02-2026
353,52,1715.98,Walmart,17-04-2026
354,70,4880.51,Zomato,15-10-2025
355,486,2212.5,Zomato,28-05-2025
356,492,2461.64,Walmart,12-01-2026
357,90,3550.56,Uber,07-08-2025
358,356,4453.52,Uber,21-06-2025
359,403,1816.29,Zomato,15-04-2026
360,302,4081.55,Target,08-02-2026
361,158,3683.28,Walmart,09-12-2025
362,66,929.66,Amazon,13-12-2025
363,486,3524.94,Uber,07-06-2025
364,201,4261.25,Uber,14-04-2026
365,17,951.3,Walmart,07-05-2026
366,472,4053.59,Uber,12-07-2025
367,114,3216.25,Amazon,21-10-2025
368,480,2506.12,Walmart,29-11-2025
369,382,435.14,Walmart,27-12-2025
370,164,881.04,Amazon,17-09-2025
371,421,3559.38,Zomato,28-11-2025
372,374,4438.93,Target,05-06-2025
373,6,1362.8,Flipkart,14-04-2026
374,355,385.58,Walmart,01-01-2026
375,403,584.77,Amazon,17-07-2025
376,25,1960.39,Zomato,07-07-2025
377,215,4847.05,Target,06-11-2025
378,253,4414.76,Walmart,14-01-2026
379,280,1907.97,Target,06-02-2026
380,404,4327.05,Zomato,27-11-2025
381,389,3451.44,Flipkart,13-10-2025
382,232,414.86,Amazon,24-02-2026
383,151,149.39,Walmart,25-04-2026
384,488,568.39,Walmart,13-05-2025
385,88,4445.26,Flipkart,13-01-2026
386,375,421.26,Amazon,09-01-2026
387,174,2990.45,Uber,07-12-2025
388,458,2439.55,Amazon,10-12-2025
389,221,4715.09,Flipkart,14-03-2026
390,311,4454.28,Flipkart,17-02-2026
391,28,551.23,Flipkart,29-04-2026
392,499,990.42,Zomato,16-07-2025
393,284,3624.09,Zomato,09-11-2025
394,277,1363.06,Walmart,24-02-2026
395,153,1225.86,Amazon,21-12-2025
396,202,2880.26,Target,01-08-2025
397,79,319.8,Amazon,20-08-2025
398,219,483.76,Zomato,29-07-2025
399,321,3021.07,Flipkart,30-09-2025
400,50,177.39,Flipkart,02-06-2025
401,327,1494.47,Amazon,09-05-2025
402,243,4226.66,Walmart,16-10-2025
403,402,2017.46,Target,23-05-2025
404,459,3322.15,Amazon,26-03-2026
405,329,2743.42,Flipkart,31-03-2026
406,190,4433.19,Walmart,25-04-2026
407,96,2256.59,Walmart,12-11-2025
408,226,2352.04,Flipkart,29-11-2025
409,429,1379.38,Amazon,22-04-2026
410,78,3773.56,Zomato,28-12-2025
411,50,474.25,Walmart,12-06-2025
412,414,2730.17,Uber,29-03-2026
413,117,2790.33,Target,13-01-2026
414,420,2636.78,Uber,02-01-2026
415,352,4341.13,Target,08-05-2025
416,294,4414.19,Target,13-09-2025
417,154,440.83,Zomato,21-11-2025
418,18,2535.4,Uber,30-05-2025
419,410,2878.85,Uber,17-10-2025
420,76,645.4,Target,07-12-2025
421,89,4747.85,Flipkart,27-04-2026
422,498,1098.86,Flipkart,04-09-2025
423,65,261.25,Amazon,14-02-2026
424,350,2205.2,Zomato,05-04-2026
425,76,4178.84,Walmart,22-04-2026
426,164,4558.48,Amazon,20-07-2025
427,45,1971.09,Target,19-09-2025
428,283,1664.33,Walmart,25-11-2025
429,267,2317.88,Amazon,22-09-2025
430,403,3517.04,Uber,02-06-2025
431,268,3919.34,Amazon,23-08-2025
432,213,790.73,Uber,05-09-2025
433,302,2934.25,Amazon,07-05-2026
434,474,572.89,Amazon,07-07-2025
435,403,1466.16,Uber,25-10-2025
436,451,1752.15,Target,05-08-2025
437,136,1946.07,Target,28-04-2026
438,293,3064.36,Amazon,25-05-2025
439,89,1413.3,Flipkart,05-02-2026
440,317,3062.84,Zomato,27-10-2025
441,206,241.97,Walmart,05-01-2026
442,354,1226.02,Zomato,26-03-2026
443,244,4608.13,Walmart,17-08-2025
444,11,1722.44,Walmart,03-07-2025
445,160,1437.72,Target,10-10-2025
446,440,3496.11,Amazon,08-01-2026
447,498,4351.06,Flipkart,14-08-2025
448,154,4872.39,Target,16-05-2025
449,397,4137.83,Walmart,15-07-2025
450,374,2113.03,Zomato,22-11-2025
451,46,980.28,Flipkart,29-06-2025
452,468,4128.65,Zomato,14-09-2025
453,249,3809.49,Walmart,20-05-2025
454,421,328.22,Flipkart,19-07-2025
455,34,1590.06,Uber,01-05-2026
456,207,721.47,Uber,07-03-2026
457,451,2864.93,Flipkart,15-12-2025
458,99,4382.14,Flipkart,08-11-2025
459,429,335.26,Amazon,21-07-2025
460,234,300.27,Walmart,26-06-2025
461,361,1035.59,Walmart,11-04-2026
462,422,2347.88,Target,05-11-2025
463,326,4619.21,Zomato,18-01-2026
464,16,1247.59,Target,15-05-2025
465,305,2258.21,Target,20-05-2025
466,301,2779.1,Walmart,16-09-2025
467,84,4196.39,Walmart,13-03-2026
468,384,4162.81,Amazon,28-02-2026
469,146,185.88,Amazon,23-03-2026
470,84,4276.42,Flipkart,07-01-2026
471,439,1145.69,Flipkart,26-02-2026
472,347,1073.32,Zomato,02-03-2026
473,210,2590.74,Zomato,10-06-2025
474,5,2396.78,Flipkart,21-10-2025
475,332,907.34,Amazon,07-09-2025
476,115,1299.33,Walmart,20-02-2026
477,365,4836.77,Zomato,11-08-2025
478,141,2147.84,Target,06-12-2025
479,437,1776.11,Walmart,11-09-2025
480,112,2360.16,Zomato,11-06-2025
481,267,4130.34,Target,08-06-2025
482,300,556.44,Uber,31-12-2025
483,340,4834.1,Walmart,31-10-2025
484,288,3254.34,Uber,19-08-2025
485,145,1527.46,Amazon,14-05-2025
486,247,365.99,Walmart,17-11-2025
487,328,1659.43,Walmart,26-08-2025
488,134,3297.79,Zomato,06-07-2025
489,153,982.38,Uber,20-08-2025
490,392,1239.5,Amazon,17-04-2026
491,413,4293.71,Uber,07-10-2025
492,207,3319.63,Zomato,21-11-2025
493,72,3620.35,Zomato,30-05-2025
494,255,4987.47,Walmart,03-06-2025
495,465,2121.9,Target,09-01-2026
496,378,224.83,Zomato,27-06-2025
497,293,4089.27,Walmart,08-11-2025
498,372,3581.18,Zomato,29-12-2025
499,274,3209.65,Target,18-04-2026
500,465,4706.31,Walmart,28-01-2026
501,260,1535.96,Flipkart,15-03-2026
502,431,3305.19,Uber,09-07-2025
503,93,1504.23,Target,22-05-2025
504,66,3717.55,Zomato,17-07-2025
505,414,2817.21,Flipkart,11-05-2025
506,485,3414.58,Walmart,14-06-2025
507,336,492.03,Walmart,29-01-2026
508,115,3733.84,Walmart,23-11-2025
509,216,3951.05,Walmart,16-02-2026
510,191,1339.77,Walmart,01-01-2026
511,238,4263.51,Target,16-10-2025
512,28,4338.65,Uber,25-05-2025
513,298,4724.29,Amazon,26-03-2026
514,242,4452.66,Uber,19-04-2026
515,62,4344.11,Target,21-10-2025
516,272,1526.86,Amazon,09-10-2025
517,446,4278.49,Flipkart,26-06-2025
518,103,1746.22,Uber,23-05-2025
519,458,4537.77,Target,05-09-2025
520,74,1616.1,Zomato,16-04-2026
521,93,3905.76,Target,16-03-2026
522,171,3173.61,Flipkart,25-10-2025
523,161,3190.77,Amazon,16-02-2026
524,232,1403.96,Flipkart,04-09-2025
525,296,3834.19,Target,11-09-2025
526,403,3829.67,Amazon,06-09-2025
527,67,3091.67,Zomato,17-08-2025
528,220,2046.8,Target,29-05-2025
529,197,73.11,Uber,07-06-2025
530,103,3666.76,Amazon,23-12-2025
531,457,1644.96,Uber,16-07-2025
532,98,138.68,Amazon,10-10-2025
533,321,3681.34,Flipkart,19-03-2026
534,356,4391.08,Walmart,11-10-2025
535,67,558.41,Uber,16-09-2025
536,302,1565.27,Amazon,05-03-2026
537,422,276.31,Walmart,07-01-2026
538,234,3652.77,Uber,25-07-2025
539,269,1722.28,Zomato,13-05-2025
540,69,1746.53,Target,15-04-2026
541,184,3763.07,Flipkart,18-11-2025
542,486,4539.13,Target,17-02-2026
543,10,1180.67,Zomato,11-03-2026
544,68,1095.39,Amazon,22-06-2025
545,302,2547.94,Amazon,13-11-2025
546,188,3569.99,Amazon,24-04-2026
547,193,4388.89,Walmart,07-12-2025
548,395,2696.93,Amazon,01-10-2025
549,305,4973.67,Zomato,31-08-2025
550,56,3285.16,Amazon,20-01-2026
551,25,3464.26,Target,09-12-2025
552,228,1932.26,Uber,14-09-2025
553,130,2398.26,Flipkart,21-03-2026
554,106,3491.2,Zomato,31-12-2025
555,5,1540.53,Zomato,28-06-2025
556,52,3329.29,Walmart,27-03-2026
557,319,3047.89,Flipkart,06-08-2025
558,215,4161.73,Amazon,24-03-2026
559,262,3607.89,Amazon,09-02-2026
560,145,614.36,Amazon,20-08-2025
561,255,1033.3,Flipkart,22-09-2025
562,399,1351.82,Uber,14-02-2026
563,499,1048.28,Zomato,03-09-2025
564,210,1511.99,Amazon,13-10-2025
565,281,2506.96,Flipkart,07-07-2025
566,353,4668.97,Walmart,05-02-2026
567,121,63.55,Zomato,11-09-2025
568,46,4539.06,Uber,13-07-2025
569,343,2495.81,Amazon,12-11-2025
570,400,2582.94,Zomato,10-10-2025
571,371,551.39,Walmart,08-11-2025
572,330,1194.24,Walmart,02-12-2025
573,136,2348.17,Amazon,23-07-2025
574,417,914.77,Amazon,30-12-2025
575,437,1488.31,Zomato,08-01-2026
576,161,2158.68,Amazon,02-03-2026
577,49,4263.67,Amazon,04-10-2025
578,5,4267.39,Zomato,05-06-2025
579,332,894.04,Walmart,09-05-2025
580,458,2216.69,Uber,13-02-2026
581,138,4398.45,Amazon,02-06-2025
582,191,4084.07,Flipkart,14-12-2025
583,59,2033.85,Target,07-09-2025
584,140,4186.76,Zomato,18-09-2025
585,436,2417.31,Target,17-07-2025
586,333,4436.31,Flipkart,22-11-2025
587,58,705.93,Zomato,11-03-2026
588,31,4908.77,Flipkart,01-01-2026
589,54,2109.34,Uber,23-12-2025
590,248,4021.21,Zomato,13-12-2025
591,225,947.24,Target,19-02-2026
592,399,1825.06,Amazon,05-01-2026
593,442,3438.1,Zomato,11-05-2025
594,499,4464.23,Target,12-08-2025
595,472,2466.21,Target,07-12-2025
596,226,277.56,Walmart,01-08-2025
597,336,1605.48,Zomato,25-09-2025
598,445,3405.75,Zomato,12-05-2025
599,296,3632.68,Flipkart,05-10-2025
600,490,3365.73,Walmart,10-12-2025
601,266,2639.36,Zomato,14-02-2026
602,317,521.45,Zomato,02-06-2025
603,373,1280.46,Walmart,15-05-2025
604,340,3397.66,Target,02-08-2025
605,77,4203.21,Uber,01-02-2026
606,457,4939.57,Amazon,11-04-2026
607,6,3234.82,Flipkart,04-02-2026
608,259,4251.79,Target,02-04-2026
609,446,868.75,Target,04-04-2026
610,165,1242.41,Walmart,12-09-2025
611,26,2559.3,Uber,24-02-2026
612,330,1924.26,Flipkart,21-06-2025
613,41,2322.52,Uber,21-03-2026
614,230,485.7,Target,17-12-2025
615,229,1614.5,Target,29-06-2025
616,382,3284.2,Amazon,16-02-2026
617,207,2091.08,Uber,30-12-2025
618,282,50.84,Amazon,04-06-2025
619,406,3040.81,Uber,14-12-2025
620,327,1557.76,Uber,11-11-2025
621,288,1073.91,Zomato,17-03-2026
622,234,4754.26,Walmart,25-11-2025
623,423,318.66,Flipkart,23-12-2025
624,433,2299.58,Uber,18-02-2026
625,393,3117.8,Target,22-05-2025
626,367,3302.98,Zomato,25-07-2025
627,232,614.42,Zomato,25-12-2025
628,114,60.87,Walmart,11-07-2025
629,425,3186.62,Walmart,15-10-2025
630,281,2633.83,Zomato,01-09-2025
631,55,276.6,Flipkart,30-12-2025
632,253,745.22,Zomato,14-08-2025
633,381,3621.72,Amazon,23-10-2025
634,131,3073.72,Flipkart,23-11-2025
635,62,4654.57,Target,03-01-2026
636,111,2312.38,Flipkart,13-06-2025
637,367,1722.77,Target,02-03-2026
638,24,4636.8,Zomato,07-03-2026
639,302,659.93,Target,18-09-2025
640,235,3309.36,Uber,21-06-2025
641,69,4821.08,Amazon,22-06-2025
642,272,3694.26,Uber,22-11-2025
643,479,2192.41,Uber,23-06-2025
644,248,4625.64,Flipkart,26-05-2025
645,355,2913.84,Zomato,03-09-2025
646,418,685.49,Target,26-09-2025
647,337,3022.7,Walmart,11-03-2026
648,259,4412.88,Target,17-03-2026
649,312,4583.76,Flipkart,19-03-2026
650,141,2019.46,Walmart,03-11-2025
651,497,1506.16,Flipkart,02-01-2026
652,71,2093.09,Zomato,10-08-2025
653,454,3754.71,Walmart,02-08-2025
654,432,3522.4,Walmart,21-06-2025
655,365,3697.25,Uber,17-03-2026
656,324,1125.85,Flipkart,21-05-2025
657,320,3586.2,Zomato,11-09-2025
658,177,4609.9,Flipkart,02-11-2025
659,364,3267.93,Flipkart,04-02-2026
660,258,2735.33,Zomato,23-03-2026
661,166,3566.25,Walmart,21-05-2025
662,288,2427.83,Uber,25-05-2025
663,483,3352.43,Target,21-12-2025
664,346,3751.95,Uber,05-12-2025
665,147,4393.51,Target,25-08-2025
666,414,113.21,Amazon,28-10-2025
667,13,1935.31,Amazon,15-09-2025
668,344,330.19,Walmart,18-07-2025
669,385,3938.38,Walmart,08-08-2025
670,350,1290.28,Amazon,19-08-2025
671,354,3932.57,Flipkart,01-03-2026
672,386,2728.8,Walmart,17-09-2025
673,417,2290.34,Uber,05-05-2026
674,445,3393.85,Uber,09-07-2025
675,443,1160.32,Zomato,22-03-2026
676,288,1974.99,Uber,19-02-2026
677,402,3994.33,Zomato,27-10-2025
678,148,3480.03,Amazon,24-10-2025
679,475,1938.83,Target,15-10-2025
680,490,3951.15,Zomato,30-11-2025
