account_id,customer_id,account_type,balance,opened_date
73,11,Salary,55838.23,2021-11-17
74,302,Savings,1711.89,2024-05-29
75,363,Salary,6828.5,2023-02-21
76,35,Savings,86103.9,2025-09-17
77,37,Salary,24562.46,2026-02-03
78,343,Current,22209.44,2024-02-08
79,68,Salary,93615.91,2022-09-28
80,293,Salary,47794.43,2021-06-21
81,402,Current,80942.2,2026-01-09
82,98,Savings,10596.15,2022-01-17
83,221,Current,42934.28,2023-02-24
84,240,Salary,6362.95,2022-06-11
85,335,Salary,10743.37,2026-01-22
86,207,Salary,34590.96,2021-11-26
87,442,Savings,25616.98,2025-03-27
88,98,Salary,45412.74,2023-03-19
89,217,Savings,28575.97,2024-06-28
90,128,Savings,44869.94,2025-01-09
91,442,Salary,10692.96,2025-06-04
92,334,Salary,83766.73,2022-07-01
93,497,Savings,92710.33,2024-06-15
94,435,Savings,17464.8,2023-04-07
95,249,Current,22160.98,2025-04-25
96,206,Savings,17299.08,2026-02-16
97,2,Current,27255.1,2024-03-30
98,402,Current,29239.67,2021-12-05
99,357,Salary,99546.85,2022-08-21
100,285,Salary,72122.42,2025-08-16
101,80,Savings,30374.07,2023-02-17
102,496,Savings,58338.85,2025-10-06
103,278,Savings,75049.58,2025-02-24
104,30,Savings,58833.58,2021-11-05
105,258,Salary,16585.84,2021-05-11
106,492,Salary,8931.04,2023-03-08
107,96,Savings,59908.48,2024-01-17
108,346,Savings,40973.78,2021-07-12
109,483,Salary,25375.32,2025-02-08
110,305,Savings,62318.77,2023-04-16
111,215,Salary,58783.56,2023-09-03
112,268,Current,93535.92,2025-01-23
113,105,Salary,71902.99,2024-09-18
114,123,Current,40182.8,2024-12-07
115,344,Salary,30699.71,2024-01-16
116,162,Savings,1922.23,2022-08-29
117,319,Salary,99613.55,2023-09-04
118,38,Salary,22102.28,2024-10-03
119,136,Savings,93392.68,2022-07-12
120,452,Savings,88047.75,2022-02-01
121,190,Current,16616.94,2026-04-27
122,427,Salary,70650.45,2026-04-29
123,314,Salary,53365.13,2024-07-30
124,342,Salary,30638.5,2022-08-09
125,340,Savings,93954.07,2023-12-21
126,69,Current,12427.44,2025-01-07
127,55,Salary,55769.14,2022-03-10
128,140,Current,60878.15,2024-06-30
129,368,Current,21156.13,2025-03-25
130,325,Current,51035.5,2023-10-29
131,129,Savings,10137.55,2022-10-01
132,217,Current,5364.59,2022-02-05
133,171,Savings,64074.22,2022-05-23
134,135,Savings,74381.86,2025-02-16
135,283,Salary,43341.0,2021-11-09
136,5,Savings,8449.14,2025-09-09
137,453,Salary,90488.93,2021-08-01
138,280,Savings,83624.91,2024-06-30
139,299,Salary,15661.28,2022-01-15
140,66,Savings,31517.58,2021-08-28
141,461,Savings,89993.54,2026-03-01
142,108,Salary,25703.44,2025-06-16
143,53,Current,78231.51,2023-08-24
144,453,Current,97409.87,2025-06-25
145,384,Savings,92650.62,2025-01-24
146,122,Savings,97644.4,2024-06-24
147,416,Savings,88260.2,2022-04-23
148,13,Savings,73919.88,2024-11-05
149,171,Current,80421.28,2024-04-28
150,443,Salary,81264.18,2022-02-15
151,137,Savings,78950.08,2021-12-18
152,56,Current,87344.51,2026-02-13
153,440,Current,23020.94,2023-05-06
154,419,Current,35616.18,2024-08-06
155,421,Savings,23069.43,2021-06-30
156,338,Savings,40448.13,2024-10-30
157,143,Savings,96722.02,2025-03-20
158,143,Current,64506.69,2021-07-01
159,205,Salary,98133.82,2022-06-26
160,275,Current,93984.48,2024-03-09
161,60,Current,18678.21,2024-03-25
162,493,Current,4787.46,2022-12-15
163,306,Current,35223.02,2023-10-08
164,403,Current,44202.99,2023-05-19
165,262,Savings,39134.35,2022-06-03
166,296,Savings,26217.53,2021-08-16
167,363,Current,1167.44,2024-01-12
168,474,Salary,68998.86,2022-02-07
169,482,Salary,73966.73,2025-01-21
170,101,Current,43698.44,2021-12-22
171,486,Salary,92156.31,2025-12-20
172,320,Current,66675.36,2021-05-17
173,64,Salary,90104.64,2022-06-15
174,260,Current,67022.4,2022-04-28
175,168,Current,70023.63,2025-12-23
176,284,Savings,19992.17,2025-10-26
177,341,Current,68054.48,2025-01-22
178,463,Savings,61935.98,2026-04-02
179,155,Current,55245.78,2023-06-29
180,1,Current,29404.46,2022-01-17
181,221,Salary,61059.5,2025-06-14
182,165,Current,44736.82,2025-10-21
183,346,Savings,51606.23,2023-10-28
184,407,Salary,17799.45,2023-10-11
185,44,Current,52029.75,2021-08-21
186,325,Salary,34183.64,2022-08-16
187,420,Savings,67606.77,2022-04-29
188,116,Savings,15588.04,2023-02-24
189,24,Savings,98409.67,2023-05-12
190,313,Savings,46086.2,2023-05-25
191,454,Salary,57991.42,2022-10-14
192,368,Salary,39013.87,2025-03-08
193,205,Savings,15609.56,2025-05-24
194,353,Savings,89373.32,2021-12-30
195,441,Savings,78063.62,2022-04-10
196,113,Savings,80606.88,2025-12-20
197,357,Salary,46990.44,2022-02-24
198,286,Savings,91829.53,2022-02-02
199,63,Current,14200.57,2022-09-11
200,238,Salary,53582.06,2026-04-26
201,287,Salary,32412.5,2023-04-11
202,387,Current,61652.58,2025-12-17
203,369,Salary,43247.33,2024-03-14
204,465,Salary,45145.45,2022-10-29
205,82,Salary,86288.0,2024-11-25
206,231,Current,75425.9,2024-03-15
207,431,Salary,28453.82,2021-06-17
208,399,Salary,48975.1,2023-11-26
209,123,Current,44547.39,2021-07-07
210,366,Current,24214.86,2026-01-14
211,172,Current,89409.66,2023-09-16
212,42,Savings,15932.24,2021-12-14
213,197,Salary,16127.72,2025-12-27
214,110,Savings,42071.92,2024-04-02
215,170,Salary,47126.51,2022-02-20
216,32,Savings,83456.23,2026-01-23
217,200,Salary,94660.14,2023-06-21
218,11,Salary,38657.72,2026-03-08
219,4,Current,30562.65,2024-06-05
220,200,Current,54283.84,2025-09-01
221,377,Salary,80186.95,2022-03-11
222,460,Savings,49334.72,2021-11-23
223,140,Current,49078.56,2021-07-31
224,200,Current,67218.49,2023-01-07
225,409,Current,72693.96,2025-04-20
226,431,Current,92034.62,2024-07-25
227,319,Salary,3669.68,2023-06-15
228,202,Salary,56874.81,2025-01-31
229,14,Savings,64632.22,2026-05-06
230,70,Current,18991.17,2023-04-23
231,134,Current,33407.91,2022-07-29
232,233,Current,34412.55,2024-01-24
233,451,Current,28547.4,2021-07-14
234,488,Current,25974.88,2025-03-17
235,42,Current,2918.95,2025-02-11
236,277,Savings,99990.88,2024-03-20
237,180,Savings,65364.27,2021-12-02
238,400,Salary,4985.56,2021-06-02
239,16,Savings,20736.71,2024-09-28
240,11,Salary,16085.85,2025-04-16
241,65,Current,67276.43,2025-06-16
242,289,Savings,47038.36,2022-06-11
243,132,Current,17611.13,2021-11-08
244,311,Salary,72117.37,2021-08-11
245,399,Savings,96507.36,2025-12-04
246,56,Salary,3542.16,2021-05-11
247,160,Salary,68057.38,2022-10-07
248,491,Current,40268.79,2025-07-30
249,367,Savings,8523.65,2023-09-14
250,354,Salary,25042.09,2021-06-15
251,357,Current,85179.03,2024-09-03
252,308,Savings,79826.49,2021-12-06
253,290,Savings,35373.17,2026-03-25
254,220,Salary,37686.52,2025-01-09
255,260,Salary,34781.89,2022-07-21
256,435,Current,82410.76,2024-06-27
257,55,Current,96117.97,2025-12-05
258,326,Current,71023.56,2024-05-21
259,223,Savings,73645.74,2024-12-03
260,495,Salary,27738.16,2023-02-28
261,414,Salary,77689.5,2021-10-06
262,239,Current,82747.73,2025-07-08
263,304,Current,32908.15,2022-03-05
264,126,Savings,28613.9,2023-08-25
265,231,Savings,75297.15,2024-08-15
266,292,Salary,67150.66,2025-11-20
267,173,Savings,49936.34,2024-02-28
268,167,Savings,49267.44,2025-05-30
269,182,Current,34693.55,2023-10-10
270,451,Salary,70417.19,2024-10-09
271,142,Salary,2004.96,2022-07-01
272,486,Savings,9475.68,2023-12-17
273,369,Current,49369.21,2024-05-16
274,389,Savings,69370.32,2022-11-11
275,331,Salary,49591.31,2022-06-07
276,406,Savings,10212.28,2025-12-15
277,114,Current,69486.93,2021-08-22
278,157,Salary,58574.0,2022-09-01
279,243,Salary,53561.27,2024-02-02
280,218,Salary,55488.46,2021-07-25
281,181,Salary,45920.78,2025-01-05
282,157,Current,23823.27,2022-09-17
283,370,Savings,32239.25,2023-10-16
284,381,Salary,95136.88,2025-01-25
285,354,Savings,19962.56,2026-02-03
286,379,Current,28373.46,2021-10-02
287,302,Salary,60082.28,2023-04-28
288,52,Savings,30328.4,2024-04-05
289,185,Savings,30924.49,2022-07-31
290,363,Salary,13531.71,2026-05-01
291,24,Savings,55782.54,2021-08-14
292,358,Savings,64149.1,2023-01-09
293,386,Current,11156.18,2026-02-05
294,7,Salary,29149.59,2026-04-04
295,246,Current,34729.89,2022-03-01
296,495,Savings,25995.36,2022-12-30
297,442,Current,12294.63,2022-02-17
298,34,Current,49682.91,2024-08-19
299,296,Salary,68958.65,2024-05-16
300,78,Savings,81303.07,2025-06-19
301,486,Current,9432.91,2024-09-11
302,128,Savings,56249.23,2024-05-09
303,214,Salary,60016.56,2024-05-31
304,317,Savings,77793.66,2021-08-05
305,195,Current,90941.93,2024-03-26
306,153,Salary,99013.09,2023-01-28
307,157,Salary,62481.7,2026-02-08
308,313,Salary,10824.12,2025-02-11
309,391,Savings,62925.99,2025-10-24
310,136,Salary,9037.56,2022-10-25
311,123,Savings,55647.23,2024-05-05
312,81,Savings,41443.24,2022-09-01
313,353,Salary,47521.34,2021-05-23
314,17,Savings,29522.38,2023-04-25
315,145,Salary,86101.07,2024-11-09
316,37,Salary,24108.96,2026-02-27
317,136,Salary,59389.17,2024-08-23
318,412,Savings,43088.76,2025-03-18
319,279,Savings,65115.84,2024-07-07
320,466,Current,82836.48,2022-01-13
321,37,Savings,17426.36,2025-12-30
322,158,Salary,75146.81,2024-05-26
323,292,Current,44476.19,2022-04-29
324,240,Salary,31105.03,2025-03-19
325,207,Current,50546.75,2026-02-01
326,253,Current,8963.74,2023-01-08
327,21,Current,73718.86,2025-04-27
328,310,Current,3560.62,2025-07-09
329,118,Salary,83759.9,2025-02-20
330,295,Salary,95127.84,2021-06-13
331,392,Salary,82320.7,2024-08-26
332,296,Savings,76547.79,2023-05-06
333,90,Current,52377.42,2022-08-04
334,227,Current,18967.43,2022-10-19
335,300,Current,63843.69,2024-05-03
336,252,Savings,47531.03,2026-05-02
337,210,Current,32784.77,2025-08-22
338,54,Savings,33650.56,2024-05-17
339,356,Current,29533.56,2022-04-21
340,484,Current,81543.04,2025-11-26
341,282,Savings,46027.76,2022-12-29
342,162,Current,33004.1,2025-06-10
343,497,Current,86626.15,2025-01-21
344,423,Savings,66108.38,2022-02-27
345,278,Current,41911.51,2022-02-09
346,97,Salary,36816.16,2024-06-28
347,388,Current,62915.47,2026-02-22
348,390,Savings,21152.27,2025-05-02
349,282,Savings,92839.6,2023-05-11
350,225,Salary,48986.47,2023-12-20
351,15,Salary,61278.3,2025-07-31
352,123,Salary,16679.44,2025-11-20
353,283,Savings,55672.89,2024-07-10
354,48,Savings,99233.46,2024-03-09
355,468,Savings,46683.34,2023-08-18
356,61,Salary,83382.17,2025-03-14
357,256,Salary,29894.29,2025-07-14
358,362,Current,42133.54,2023-04-02
359,248,Current,25129.36,2024-12-31
360,283,Savings,38975.02,2023-10-02
361,472,Salary,51315.85,2021-07-31
362,451,Savings,86538.67,2022-05-16
363,142,Current,34647.65,2023-03-21
364,404,Salary,27450.09,2025-10-10
365,2,Current,72879.05,2024-07-22
366,429,Salary,58412.42,2023-05-17
367,338,Current,86660.8,2023-02-17
368,229,Salary,48949.8,2023-11-13
369,171,Salary,76524.4,2022-02-10
370,194,Current,93352.37,2022-01-12
371,446,Savings,98096.69,2022-07-27
372,123,Salary,38914.11,2022-11-30
373,439,Current,5321.08,2025-03-11
374,382,Current,70817.56,2025-07-31
375,416,Current,39221.8,2024-06-20
376,340,Salary,98101.0,2022-03-26
377,254,Savings,13498.38,2023-12-18
378,495,Salary,33867.48,2022-05-05
379,52,Current,10871.46,2025-03-05
380,467,Current,2519.41,2023-12-04
381,74,Current,87222.36,2026-03-04
382,497,Savings,8408.0,2023-05-05
383,401,Current,34517.56,2024-07-27
384,355,Current,65333.83,2025-03-04
385,437,Current,85381.79,2021-12-23
386,440,Salary,38620.93,2025-02-02
387,163,Salary,72153.03,2023-01-05
388,389,Current,87365.92,2021-12-05
389,19,Salary,7773.65,2022-04-01
390,324,Salary,92171.98,2024-05-15
391,117,Salary,9947.55,2024-08-20
392,51,Salary,70685.19,2021-11-07
393,52,Current,17470.11,2023-12-09
394,154,Savings,5553.11,2022-02-25
395,408,Savings,30043.41,2023-04-28
396,192,Current,15411.41,2025-02-15
397,272,Current,57026.88,2023-02-17
398,406,Savings,17828.38,2022-09-17
399,41,Salary,87213.12,2024-06-27
400,318,Salary,24842.15,2022-07-16
401,468,Salary,15168.65,2022-06-20
402,237,Salary,26143.76,2026-02-26
403,131,Salary,1930.35,2022-06-16
404,412,Current,90219.73,2026-04-28
405,347,Salary,16639.59,2023-12-27
406,227,Current,98777.52,2024-07-03
407,154,Salary,96240.88,2023-12-18
408,354,Current,46226.75,2023-11-20
409,155,Savings,99937.98,2024-12-17
410,437,Current,11558.67,2025-08-26
411,196,Salary,36536.96,2021-07-21
412,152,Salary,30227.84,2022-01-26
413,425,Salary,40184.77,2022-01-03
414,5,Salary,86641.67,2024-05-20
415,399,Salary,97386.68,2024-08-09
416,467,Salary,74772.04,2025-03-24
417,427,Current,77798.36,2024-07-07
418,118,Salary,80391.26,2023-07-23
419,113,Salary,19823.07,2021-11-18
420,129,Salary,75802.16,2024-06-27
421,393,Salary,68404.65,2024-12-06
422,71,Salary,10619.23,2022-09-27
423,322,Salary,4902.83,2022-11-12
424,404,Current,4303.09,2024-02-10
425,187,Salary,14009.77,2024-11-03
426,466,Current,33345.19,2024-10-27
427,213,Savings,20878.68,2021-09-17
428,403,Salary,87769.6,2022-06-19
429,188,Salary,50677.68,2025-04-20
430,140,Savings,26440.04,2025-07-20
431,423,Current,96771.02,2023-05-03
432,152,Salary,87169.3,2022-07-17
433,412,Savings,47364.81,2023-06-11
434,39,Savings,75661.0,2024-04-10
435,116,Salary,72697.45,2026-03-11
436,204,Salary,37211.73,2026-04-01
437,405,Current,2377.95,2024-10-07
438,275,Savings,46023.82,2022-05-08
439,345,Salary,67561.74,2021-07-28
440,300,Current,82419.31,2022-07-18
441,482,Current,11726.26,2022-05-12
442,120,Current,3477.44,2024-07-03
443,453,Salary,33472.62,2023-05-01
444,313,Savings,65117.59,2022-04-13
445,326,Current,91029.38,2022-01-25
446,155,Salary,41421.29,2026-04-01
447,72,Savings,94679.89,2022-04-04
448,156,Current,12495.93,2026-03-07
449,121,Salary,14430.74,2025-07-08
450,233,Current,67378.14,2025-05-23
451,381,Salary,94651.43,2025-11-01
452,215,Salary,74484.63,2021-09-10
453,80,Current,65837.27,2024-06-18
454,427,Current,61949.57,2022-03-17
455,481,Current,4238.91,2025-05-07
456,190,Savings,44894.93,2022-02-23
457,487,Savings,85689.57,2021-10-03
458,51,Salary,37366.16,2025-12-13
459,462,Salary,36508.71,2025-09-15
460,204,Current,19791.05,2024-03-09
461,63,Current,10075.67,2025-07-04
462,109,Salary,64309.8,2021-11-12
463,498,Savings,6007.27,2024-06-25
464,171,Savings,98893.27,2024-05-01
465,403,Salary,21315.35,2024-03-16
466,425,Salary,21508.58,2022-10-19
467,111,Savings,33527.4,2022-01-13
468,76,Salary,1280.72,2023-01-08
469,440,Savings,98765.2,2021-07-21
470,277,Current,80052.87,2024-10-11
471,57,Salary,86778.34,2022-07-13
472,68,Savings,36465.99,2025-06-11
473,404,Savings,59296.44,2025-09-05
474,9,Savings,27271.38,2023-06-12
475,65,Salary,42675.1,2024-10-07
476,59,Salary,7292.25,2024-10-16
477,230,Current,51810.56,2025-03-16
478,56,Current,50880.03,2024-03-27
479,485,Salary,5293.14,2025-06-07
480,402,Salary,52623.67,2022-06-03
481,235,Salary,96438.59,2021-05-19
482,32,Current,84882.56,2022-06-30
483,219,Salary,11688.22,2022-08-31
484,365,Current,8275.58,2025-04-14
485,42,Current,61221.44,2022-06-21
486,34,Savings,28226.58,2022-03-24
487,325,Salary,55287.29,2023-04-03
488,167,Current,99468.15,2024-03-17
489,272,Current,45917.83,2023-12-26
490,310,Current,10818.67,2021-07-28
491,360,Savings,85426.48,2022-08-09
492,334,Salary,72363.15,2023-12-11
493,111,Current,45703.94,2021-12-10
494,117,Current,34554.23,2025-06-19
495,233,Current,42182.98,2023-08-19
496,49,Current,43249.64,2021-10-29
497,341,Current,38055.8,2023-02-17
498,79,Salary,92375.52,2023-02-12
499,35,Savings,83345.42,2023-02-11
500,48,Current,10559.88,2022-08-22
501,379,Current,81365.16,2024-04-04
502,285,Savings,59060.04,2022-07-09
503,288,Salary,33634.95,2021-08-24
504,63,Current,36006.21,2023-04-18
505,341,Current,86941.12,2025-06-25
506,370,Savings,96871.46,2024-06-08
507,308,Current,35812.97,2023-03-29
508,296,Salary,22061.14,2024-05-29
509,337,Current,23200.24,2025-01-24
510,56,Current,84691.97,2024-03-21
511,189,Savings,76497.96,2022-07-05
512,294,Savings,80914.92,2021-12-10
513,433,Salary,97480.11,2026-04-04
514,420,Salary,61743.75,2024-06-15
515,330,Salary,3599.13,2026-05-07
516,476,Salary,83116.62,2021-06-25
517,137,Savings,18861.19,2022-12-18
518,360,Current,92232.21,2021-07-28
519,180,Savings,18959.15,2022-01-22
520,74,Salary,66077.12,2022-02-25
521,36,Savings,74355.94,2022-03-13
522,498,Savings,10084.01,2026-04-25
523,272,Savings,38243.25,2024-07-06
524,233,Current,16583.52,2025-10-02
525,160,Salary,33113.91,2022-04-09
526,483,Salary,60026.15,2021-10-29
527,453,Savings,16402.41,2023-10-20
528,387,Salary,5926.49,2025-03-19
529,42,Current,44868.18,2023-08-18
530,218,Current,61100.52,2025-05-26
531,213,Current,22341.33,2023-02-15
532,263,Savings,35172.11,2023-03-24
533,57,Current,68143.57,2023-06-21
534,304,Current,53166.48,2022-01-01
535,158,Savings,22831.33,2023-03-20
536,307,Savings,1761.02,2024-07-14
537,155,Savings,76967.6,2022-10-11
538,392,Current,29655.27,2022-04-17
539,62,Savings,50241.15,2023-06-09
540,221,Savings,13789.38,2023-10-27
541,273,Salary,23780.96,2025-06-17
542,287,Salary,80813.82,2021-06-18
543,37,Current,86314.67,2022-04-20
544,22,Current,2855.41,2022-09-02
545,472,Savings,86348.89,2025-02-24
546,295,Current,57766.57,2023-08-24
547,364,Salary,42351.7,2021-09-17
548,59,Current,3064.8,2022-10-10
549,167,Savings,80330.89,2023-02-24
550,317,Current,83370.57,2021-05-17
551,471,Current,9724.86,2024-02-10
552,433,Savings,25088.33,2024-10-27
553,302,Current,52872.29,2022-11-10
554,203,Current,74834.68,2022-07-29
555,114,Current,78132.67,2026-01-12
556,40,Salary,63689.24,2024-02-04
557,272,Salary,20196.47,2023-09-03
558,398,Current,35758.87,2024-06-15
559,491,Salary,81688.66,2026-04-25
560,121,Savings,15497.98,2025-04-15
561,102,Savings,60637.5,2024-05-04
562,390,Salary,8459.97,2024-12-22
563,488,Salary,49917.59,2024-01-05
564,387,Salary,76227.84,2021-11-10
565,230,Salary,92491.27,2025-10-30
566,290,Salary,63894.53,2022-04-13
567,320,Current,86560.44,2023-08-25
568,322,Current,15944.78,2022-12-17
569,35,Current,44778.6,2023-09-05
570,156,Current,59550.56,2024-07-10
571,181,Salary,8344.87,2021-08-29
572,237,Current,4723.12,2024-11-03
573,189,Current,8596.37,2023-07-25
574,443,Savings,61885.83,2024-04-29
575,260,Current,46808.45,2025-01-29
576,284,Salary,89691.8,2023-08-31
577,231,Salary,65531.91,2021-05-23
578,165,Salary,48087.27,2021-11-18
579,78,Savings,45601.79,2026-01-06
580,416,Current,98256.17,2021-08-15
581,44,Salary,64966.58,2023-11-29
582,21,Savings,71054.55,2022-10-30
583,225,Salary,52752.06,2021-06-18
584,82,Current,37912.35,2026-02-05
585,145,Current,41468.17,2025-04-18
586,174,Salary,60190.7,2021-11-26
587,405,Salary,65083.23,2025-01-23
588,34,Current,10356.09,2022-01-28
589,348,Current,29130.55,2021-07-23
590,371,Salary,96476.59,2023-04-18
591,309,Savings,34002.84,2025-03-19
592,299,Salary,15001.41,2023-05-21
593,180,Current,96801.95,2024-05-11
594,358,Salary,39803.84,2024-02-29
595,305,Salary,93862.22,2024-08-11
596,159,Salary,38291.25,2024-06-16
597,406,Current,81505.29,2025-08-30
598,344,Salary,83066.94,2025-06-10
599,379,Salary,91332.35,2025-03-14
600,48,Salary,67375.15,2023-05-22
601,261,Current,2804.82,2022-01-25
602,159,Savings,95165.76,2022-03-01
603,175,Current,20008.52,2025-12-21
604,71,Savings,8639.34,2021-08-11
605,433,Savings,51261.28,2024-07-17
606,277,Salary,88484.53,2022-11-22
607,20,Salary,34339.67,2023-02-17
608,393,Salary,13973.86,2026-03-17
609,193,Savings,17062.47,2025-01-26
610,426,Salary,77338.68,2025-05-07
611,415,Savings,72397.12,2025-01-06
612,23,Current,37065.64,2025-04-18
613,369,Savings,96989.27,2026-02-18
614,313,Current,75486.73,2022-05-04
615,402,Current,24166.29,2021-05-11
616,123,Current,96594.07,2025-07-17
617,402,Current,90493.46,2023-08-15
618,100,Current,68152.38,2025-10-13
619,293,Current,46706.32,2021-05-22
620,145,Current,50787.76,2025-12-10
621,215,Savings,81872.23,2024-03-25
622,411,Salary,14701.45,2021-09-08
623,129,Savings,64476.72,2026-04-15
624,448,Current,55899.53,2022-11-23
625,53,Salary,84743.34,2021-12-26
626,436,Savings,29221.24,2025-03-05
627,391,Savings,28006.34,2021-06-20
628,464,Salary,15587.52,2022-10-22
629,224,Savings,94694.91,2023-01-03
630,114,Current,88578.35,2021-10-09
631,477,Savings,42074.79,2023-12-10
632,203,Salary,38022.19,2023-04-18
633,198,Savings,38116.35,2023-06-12
634,15,Current,93151.76,2023-10-27
635,430,Salary,65346.11,2022-12-24
636,406,Savings,14622.36,2021-10-06
637,147,Current,69911.13,2025-05-25
638,72,Salary,47441.9,2025-05-27
639,316,Savings,90679.89,2024-10-14
640,10,Current,22349.82,2022-10-10
641,77,Salary,94082.37,2026-03-23
642,312,Salary,42902.22,2022-08-05
643,398,Current,24526.38,2023-01-05
644,63,Savings,24605.51,2025-01-12
645,328,Salary,46254.25,2023-09-03
646,57,Current,60077.17,2024-03-02
647,9,Salary,52022.2,2022-01-06
648,124,Salary,15214.11,2024-12-13
649,220,Savings,61866.15,2025-11-18
650,124,Salary,42240.19,2023-08-22
651,341,Salary,9475.78,2025-05-24
652,500,Current,7700.25,2024-08-14
653,270,Salary,51225.44,2025-11-21
654,260,Salary,3013.1,2023-03-17
655,448,Current,5309.91,2023-05-30
656,199,Current,26111.38,2022-04-02
657,9,Current,79063.48,2025-10-30
658,177,Savings,73561.16,2023-10-16
659,322,Savings,77378.64,2022-01-15
660,377,Current,14207.55,2023-08-18
661,181,Salary,34516.18,2026-03-31
662,330,Savings,83207.98,2022-04-29
663,351,Current,98101.1,2022-09-25
664,246,Salary,19045.52,2021-10-16
665,70,Savings,71888.46,2023-07-08
666,484,Current,4661.4,2024-12-28
667,104,Savings,79319.81,2021-08-04
668,454,Savings,32243.99,2024-12-17
669,159,Salary,40424.18,2025-05-01
670,418,Salary,47866.58,2024-07-09
671,19,Salary,19919.24,2022-09-13
672,183,Savings,86714.03,2024-09-03
673,170,Current,13323.03,2023-04-09
674,189,Current,89059.17,2021-06-14
675,381,Current,89569.11,2022-01-15
676,198,Current,97398.63,2024-01-13
677,255,Salary,50254.82,2023-09-15
678,474,Salary,27405.35,2021-05-29
679,43,Salary,43025.47,2023-06-30
680,221,Salary,99514.72,2021-11-26
681,93,Salary,30082.88,2024-02-14
682,53,Savings,33464.07,2024-01-01
683,152,Current,45145.66,2025-05-02
684,368,Current,17497.83,2022-11-27
685,228,Current,45265.84,2022-07-08
686,373,Current,61870.3,2024-05-28
687,223,Current,64307.46,2025-01-10
688,406,Savings,8429.08,2025-10-06
689,327,Current,36967.8,2026-01-03
690,411,Salary,68261.65,2025-07-28
691,488,Savings,15135.17,2024-04-19
692,312,Salary,78349.89,2025-04-19
693,18,Savings,7656.1,2023-02-16
694,399,Salary,37266.52,2023-01-09
695,197,Salary,4206.15,2022-12-28
696,79,Salary,45542.33,2026-03-06
697,190,Current,44949.99,2025-05-28
698,40,Salary,14631.82,2023-05-09
699,188,Current,32124.16,2021-11-23
700,143,Savings,96091.49,2024-02-19
701,14,Salary,19418.76,2021-10-24
702,266,Current,91440.71,2026-02-23
703,61,Current,77721.48,2022-11-11
704,361,Current,22242.47,2023-11-07
705,314,Current,69704.08,2022-06-13
706,252,Savings,13141.1,2022-01-10
707,437,Savings,45752.23,2022-09-19
708,461,Salary,45066.01,2021-12-26
709,45,Salary,96788.56,2023-05-06
710,164,Salary,35395.1,2025-06-30
